"Recência","Frequência","Gasto","ID do Cliente","Segmento"
698,1,129.23,"12555","Básico"
66,121,603.71,"12556","Básico"
23,11,269.96,"12558","Básico"
326,21,561.71,"12559","Básico"
318,16,238.85,"12561","Básico"
424,13,249.24,"12563","Básico"
277,21,456.9,"12564","Básico"
304,9,145.92,"12565","Básico"
102,19,351.65,"12566","Básico"
660,5,70,"12568","Básico"
698,1,77.52,"12570","Básico"
55,34,519.61,"12571","Básico"
24,60,1020.42,"12572","Básico"
243,119,717.41,"12573","Básico"
331,11,218.45,"12574","Básico"
473,38,622.82,"12575","Básico"
94,29,440.42,"12579","Básico"
262,58,1052.9,"12580","Básico"
55,15,197.71,"12581","Básico"
23,4,144,"12587","Básico"
55,46,958.78,"12588","Básico"
124,21,418.1,"12593","Básico"
520,19,299.02,"12595","Básico"
67,27,618.27,"12596","Básico"
205,34,681.26,"12601","Básico"
74,12,153.12,"12602","Básico"
37,3,739.2,"12603","Básico"
95,16,254.18,"12604","Básico"
698,1,21,"12606","Básico"
420,16,415.79,"12608","Básico"
90,19,704.04,"12612","Básico"
293,20,315.6,"12614","Básico"
45,42,355.53,"12617","Básico"
37,11,177.31,"12618","Básico"
248,11,180.1,"12622","Básico"
122,38,641.13,"12624","Básico"
20,41,786.46,"12628","Básico"
536,35,804.88,"12632","Básico"
551,20,490,"12634","Básico"
754,1,141,"12636","Básico"
49,48,921.49,"12638","Básico"
131,10,185.9,"12641","Básico"
41,47,1013.26,"12642","Básico"
19,20,314.44,"12650","Básico"
350,30,377.75,"12651","Básico"
347,51,1017.03,"12652","Básico"
26,38,601.98,"12654","Básico"
439,16,261.35,"12655","Básico"
34,36,686.05,"12658","Básico"
45,5,91.68,"12659","Básico"
27,13,245.1,"12660","Básico"
452,11,162,"12661","Básico"
640,10,239.4,"12663","Básico"
340,17,313.6,"12665","Básico"
74,33,620.13,"12667","Básico"
345,22,437.05,"12672","Básico"
569,113,958.5,"12675","Básico"
571,21,395.1,"12677","Básico"
16,53,880.81,"12680","Básico"
387,14,178.28,"12686","Básico"
221,16,389.01,"12690","Básico"
653,13,110.95,"12692","Básico"
450,49,851.91,"12696","Básico"
44,41,957.59,"12697","Básico"
606,16,339.75,"12698","Básico"
433,41,638.11,"12699","Básico"
35,12,219,"12702","Básico"
87,74,1006.53,"12703","Básico"
307,33,603.42,"12707","Básico"
16,38,848.55,"12713","Básico"
122,21,353.86,"12715","Básico"
87,19,238.25,"12718","Básico"
21,39,644.95,"12719","Básico"
101,53,997.63,"12722","Básico"
19,69,725.07,"12723","Básico"
129,26,453.01,"12729","Básico"
537,47,829.25,"12730","Básico"
195,12,236.26,"12732","Básico"
368,19,639.65,"12734","Básico"
331,43,779.57,"12735","Básico"
348,4,234,"12736","Básico"
388,22,310.7,"12738","Básico"
79,27,427.6,"12740","Básico"
545,16,406.07,"12741","Básico"
150,134,546.43,"12743","Básico"
502,23,925.41,"12745","Básico"
556,17,254.55,"12746","Básico"
144,15,275.88,"12750","Básico"
460,62,268.27,"12751","Básico"
102,4,112.08,"12756","Básico"
471,21,347.8,"12760","Básico"
473,27,782.95,"12761","Básico"
154,34,814.16,"12763","Básico"
391,43,949.82,"12767","Básico"
466,10,168.69,"12768","Básico"
501,15,282.3,"12771","Básico"
75,55,892.47,"12772","Básico"
580,6,124.25,"12773","Básico"
551,6,98.7,"12774","Básico"
683,4,55.5,"12776","Básico"
473,26,519.45,"12777","Básico"
614,20,337.4,"12780","Básico"
79,25,826.74,"12781","Básico"
625,18,728.5,"12786","Básico"
25,44,862.18,"12787","Básico"
479,26,444.9,"12788","Básico"
81,8,273.35,"12789","Básico"
208,37,591.85,"12790","Básico"
389,30,1056.11,"12791","Básico"
272,47,827.01,"12792","Básico"
350,51,1017.33,"12793","Básico"
69,45,860.41,"12794","Básico"
34,14,430.48,"12795","Básico"
644,7,381,"12796","Básico"
381,43,806.11,"12797","Básico"
545,15,219.35,"12799","Básico"
486,34,584.25,"12800","Básico"
516,50,1071.82,"12801","Básico"
409,55,1092.81,"12803","Básico"
481,67,327.02,"12804","Básico"
399,16,330.35,"12807","Básico"
52,54,906.1,"12808","Básico"
550,32,534.99,"12810","Básico"
276,56,1033.9,"12811","Básico"
60,15,229.64,"12812","Básico"
117,2,125.92,"12814","Básico"
163,47,1063.46,"12815","Básico"
111,29,572.2,"12816","Básico"
297,25,690.98,"12817","Básico"
474,19,540.52,"12819","Básico"
230,13,220.8,"12821","Básico"
86,46,948.88,"12822","Básico"
75,25,397.12,"12824","Básico"
537,24,518.63,"12825","Básico"
21,25,430.15,"12827","Básico"
18,56,1018.71,"12828","Básico"
352,19,385.3,"12829","Básico"
278,22,451.11,"12831","Básico"
48,27,383.03,"12832","Básico"
161,24,417.38,"12833","Básico"
298,18,312.38,"12834","Básico"
189,92,688.41,"12837","Básico"
45,103,648.6,"12844","Básico"
283,27,354.09,"12845","Básico"
698,1,15.58,"12846","Básico"
691,16,208,"12848","Básico"
461,2,330,"12850","Básico"
112,80,284.13,"12851","Básico"
310,17,311.55,"12852","Básico"
388,70,650.94,"12855","Básico"
399,49,177.92,"12858","Básico"
474,21,575.1,"12859","Básico"
709,17,55.47,"12860","Básico"
635,4,68.25,"12861","Básico"
441,133,1008.32,"12862","Básico"
154,7,299.57,"12864","Básico"
697,37,337.67,"12869","Básico"
100,18,744.02,"12871","Básico"
401,48,948.42,"12874","Básico"
252,47,854.99,"12878","Básico"
60,10,573.22,"12879","Básico"
397,36,640.13,"12880","Básico"
291,7,298,"12881","Básico"
40,42,703.47,"12883","Básico"
104,7,309.05,"12884","Básico"
399,13,222.4,"12887","Básico"
230,5,354.12,"12888","Básico"
397,25,385.46,"12889","Básico"
40,139,717.27,"12890","Básico"
201,11,840.5,"12891","Básico"
412,18,263.38,"12892","Básico"
46,34,188.14,"12893","Básico"
591,21,157.35,"12894","Básico"
58,22,372.8,"12895","Básico"
220,14,514.25,"12897","Básico"
479,32,310.96,"12898","Básico"
429,17,366.4,"12899","Básico"
438,13,340.33,"12900","Básico"
280,10,138.68,"12902","Básico"
444,41,833.53,"12903","Básico"
34,72,509.58,"12904","Básico"
592,54,1018.42,"12905","Básico"
411,25,508.91,"12907","Básico"
416,9,223.98,"12914","Básico"
33,60,488.09,"12920","Básico"
177,28,405.38,"12922","Básico"
80,62,789.87,"12923","Básico"
20,50,729.33,"12925","Básico"
410,11,197.31,"12927","Básico"
327,8,117.85,"12929","Básico"
94,25,415.8,"12930","Básico"
752,2,181.65,"12934","Básico"
41,9,114.14,"12938","Básico"
70,99,913.54,"12940","Básico"
740,27,377.49,"12941","Básico"
147,91,942.65,"12942","Básico"
574,25,496.5,"12943","Básico"
51,30,604.51,"12944","Básico"
304,51,900.11,"12945","Básico"
452,20,324.45,"12946","Básico"
25,48,828.81,"12953","Básico"
654,10,162.45,"12954","Básico"
322,42,521.89,"12956","Básico"
416,57,539.49,"12958","Básico"
500,8,150.95,"12959","Básico"
395,40,211.99,"12961","Básico"
23,16,266.39,"12962","Básico"
453,26,132.24,"12964","Básico"
105,109,771.91,"12965","Básico"
25,10,160.18,"12966","Básico"
128,5,135.95,"12968","Básico"
618,5,122.45,"12969","Básico"
429,6,385.55,"12973","Básico"
213,32,408.95,"12974","Básico"
172,59,517.63,"12977","Básico"
745,56,517.7,"12979","Básico"
45,20,372.22,"12981","Básico"
614,30,490.08,"12983","Básico"
34,4,97.5,"12984","Básico"
308,92,535.32,"12988","Básico"
47,27,955.5,"12990","Básico"
39,45,764.82,"12991","Básico"
741,6,93.35,"12992","Básico"
20,61,974.42,"12994","Básico"
101,3,211.32,"12995","Básico"
391,22,355.5,"12996","Básico"
508,58,920.08,"12998","Básico"
212,28,455.88,"12999","Básico"
122,62,1032.5,"13000","Básico"
334,23,414.13,"13002","Básico"
121,6,149.05,"13003","Básico"
189,56,999.68,"13005","Básico"
72,4,81.57,"13006","Básico"
595,11,175.25,"13007","Básico"
339,35,612.13,"13008","Básico"
688,4,234,"13009","Básico"
390,12,330.12,"13010","Básico"
388,6,101.1,"13011","Básico"
89,47,789.89,"13016","Básico"
23,1,204,"13017","Básico"
578,39,618.96,"13020","Básico"
445,5,65.3,"13022","Básico"
486,31,555.87,"13024","Básico"
747,13,323.39,"13025","Básico"
38,45,661.32,"13028","Básico"
373,13,220.55,"13033","Básico"
70,55,922.68,"13034","Básico"
700,6,307.1,"13036","Básico"
96,28,908.46,"13038","Básico"
600,55,1010.73,"13039","Básico"
24,43,676.99,"13040","Básico"
466,35,799.13,"13041","Básico"
289,13,516.42,"13043","Básico"
115,45,808.92,"13045","Básico"
46,56,949.25,"13046","Básico"
594,4,155.8,"13051","Básico"
637,17,127.65,"13053","Básico"
567,19,209.48,"13056","Básico"
546,41,722.09,"13057","Básico"
40,8,271.4,"13058","Básico"
269,15,307.53,"13060","Básico"
88,10,248.61,"13061","Básico"
207,11,346.98,"13062","Básico"
496,12,188.4,"13063","Básico"
40,48,470.8,"13066","Básico"
98,32,508.51,"13067","Básico"
26,2,344,"13068","Básico"
208,33,751.7,"13070","Básico"
628,12,129.22,"13071","Básico"
282,7,177.15,"13072","Básico"
427,27,418.08,"13073","Básico"
145,22,919.61,"13075","Básico"
473,9,135.4,"13076","Básico"
20,17,419.18,"13079","Básico"
195,19,280.73,"13080","Básico"
20,22,395.43,"13083","Básico"
507,2,122.4,"13084","Básico"
398,47,439.33,"13086","Básico"
742,15,313.64,"13087","Básico"
433,20,236.11,"13088","Básico"
86,6,74.4,"13095","Básico"
410,1,419.7,"13096","Básico"
115,1,207.36,"13099","Básico"
250,51,695.4,"13101","Básico"
55,33,709.64,"13103","Básico"
452,1,72,"13105","Básico"
149,16,603.46,"13106","Básico"
734,12,321.88,"13111","Básico"
557,2,20.6,"13112","Básico"
746,16,234.38,"13114","Básico"
154,30,501.14,"13116","Básico"
684,11,134.9,"13119","Básico"
254,1,30.6,"13120","Básico"
285,50,283.73,"13121","Básico"
110,55,922.39,"13122","Básico"
488,45,506.75,"13123","Básico"
539,21,158.57,"13125","Básico"
93,15,259.17,"13127","Básico"
647,1,263.5,"13128","Básico"
468,11,233.25,"13129","Básico"
110,2,64,"13130","Básico"
277,3,77.3,"13132","Básico"
289,12,200.45,"13133","Básico"
35,23,307.09,"13142","Básico"
600,23,405.1,"13143","Básico"
348,6,135.35,"13144","Básico"
42,17,228.91,"13146","Básico"
26,4,712.8,"13147","Básico"
500,8,449.97,"13150","Básico"
21,15,486.22,"13153","Básico"
38,4,91.8,"13160","Básico"
329,34,478.88,"13161","Básico"
626,2,17.65,"13163","Básico"
585,10,372.2,"13164","Básico"
299,69,884.18,"13166","Básico"
79,18,840.08,"13169","Básico"
42,32,116.01,"13170","Básico"
37,46,468.41,"13171","Básico"
416,1,69.6,"13172","Básico"
598,46,831.45,"13175","Básico"
62,72,492.84,"13176","Básico"
80,30,512.2,"13177","Básico"
634,34,572.31,"13179","Básico"
623,4,86.1,"13180","Básico"
397,19,359.69,"13181","Básico"
61,11,121.18,"13182","Básico"
283,1,71.4,"13185","Básico"
353,64,367.01,"13187","Básico"
27,2,114.6,"13188","Básico"
34,29,260.68,"13189","Básico"
560,17,570.66,"13190","Básico"
674,59,164.69,"13191","Básico"
77,29,117.88,"13193","Básico"
151,10,472.78,"13194","Básico"
430,52,172.38,"13195","Básico"
625,19,373.01,"13197","Básico"
35,46,870.09,"13200","Básico"
747,57,966.66,"13204","Básico"
31,13,535.86,"13207","Básico"
109,22,353.48,"13210","Básico"
35,142,788.08,"13212","Básico"
418,1,81.6,"13215","Básico"
283,5,333.74,"13216","Básico"
138,5,666.48,"13217","Básico"
143,5,62.64,"13218","Básico"
634,11,76.23,"13219","Básico"
256,66,847.41,"13221","Básico"
593,1,88.5,"13222","Básico"
216,13,969.12,"13223","Básico"
289,28,312.46,"13226","Básico"
217,9,257.7,"13227","Básico"
97,2,358,"13228","Básico"
241,10,160.95,"13229","Básico"
688,63,356.95,"13234","Básico"
228,58,1031.07,"13235","Básico"
40,36,744.85,"13236","Básico"
403,24,643,"13237","Básico"
33,47,1006.63,"13238","Básico"
427,42,115.58,"13241","Básico"
128,35,699.4,"13242","Básico"
108,27,121.74,"13244","Básico"
66,45,989.22,"13245","Básico"
33,25,501.12,"13247","Básico"
140,26,465.68,"13248","Básico"
476,20,256.04,"13250","Básico"
418,25,252.68,"13251","Básico"
410,19,399.3,"13252","Básico"
392,4,51.41,"13254","Básico"
25,32,904.46,"13255","Básico"
30,1,0,"13256","Básico"
452,7,149.75,"13257","Básico"
27,46,1035.18,"13258","Básico"
77,8,557.62,"13260","Básico"
284,9,944.1,"13261","Básico"
279,50,573.45,"13262","Básico"
458,38,722.56,"13264","Básico"
53,96,217.38,"13271","Básico"
47,15,276.56,"13272","Básico"
129,16,138.98,"13273","Básico"
425,19,360.85,"13274","Básico"
399,50,241.66,"13275","Básico"
31,23,523.3,"13277","Básico"
94,9,137.75,"13279","Básico"
455,22,350.85,"13281","Básico"
75,20,373.36,"13283","Básico"
346,13,201.19,"13284","Básico"
616,49,734.91,"13286","Básico"
619,53,781.59,"13287","Básico"
459,10,927.61,"13288","Básico"
739,16,307.95,"13289","Básico"
454,1,208.63,"13290","Básico"
54,59,994.51,"13292","Básico"
153,53,792.51,"13296","Básico"
17,2,360,"13298","Básico"
119,81,618.09,"13301","Básico"
171,3,159.2,"13302","Básico"
416,4,61.72,"13303","Básico"
446,4,53.65,"13306","Básico"
136,15,273.34,"13307","Básico"
20,26,598.57,"13311","Básico"
467,5,124.75,"13312","Básico"
17,62,775.94,"13314","Básico"
705,22,310.26,"13315","Básico"
17,20,640.76,"13318","Básico"
88,11,567.36,"13321","Básico"
33,25,199.48,"13322","Básico"
19,21,787.85,"13323","Básico"
97,12,675.3,"13325","Básico"
448,13,281.76,"13326","Básico"
417,12,262.4,"13331","Básico"
30,21,350.9,"13332","Básico"
427,55,1015.74,"13333","Básico"
93,51,795.12,"13336","Básico"
216,54,860.12,"13339","Básico"
276,42,775.85,"13341","Básico"
193,19,353.43,"13343","Básico"
303,20,389.5,"13345","Básico"
478,6,299.4,"13346","Básico"
86,8,341.36,"13347","Básico"
80,14,233.76,"13348","Básico"
26,16,247.32,"13349","Básico"
32,40,979.12,"13350","Básico"
82,16,373.94,"13351","Básico"
76,24,397.98,"13352","Básico"
87,51,743.53,"13354","Básico"
138,32,674.7,"13355","Básico"
96,42,768.24,"13356","Básico"
284,29,439.03,"13358","Básico"
79,56,1043.31,"13359","Básico"
87,10,134.96,"13364","Básico"
66,1,56.16,"13366","Básico"
447,20,510.2,"13367","Básico"
381,28,616.56,"13369","Básico"
105,23,378.64,"13372","Básico"
430,17,422.8,"13374","Básico"
115,53,1019.76,"13376","Básico"
42,97,572.56,"13379","Básico"
448,3,62.4,"13380","Básico"
559,1,305.28,"13383","Básico"
345,35,534.57,"13385","Básico"
430,31,835.46,"13386","Básico"
433,73,189.44,"13387","Básico"
27,51,797.96,"13389","Básico"
90,13,544.08,"13390","Básico"
219,1,59.8,"13391","Básico"
693,8,91.14,"13392","Básico"
208,39,670.34,"13398","Básico"
480,15,275.4,"13399","Básico"
598,23,310.83,"13400","Básico"
33,9,229.5,"13403","Básico"
17,11,252.49,"13404","Básico"
443,9,568.92,"13406","Básico"
123,18,213.55,"13411","Básico"
636,34,487.35,"13412","Básico"
655,43,429.44,"13413","Básico"
488,104,800.67,"13415","Básico"
59,26,940.8,"13416","Básico"
79,16,221.06,"13419","Básico"
165,8,159.85,"13420","Básico"
444,12,217.03,"13423","Básico"
465,40,572.77,"13424","Básico"
35,52,1006.53,"13427","Básico"
26,144,499.98,"13428","Básico"
26,67,1006.8,"13429","Básico"
34,49,679.45,"13430","Básico"
587,111,439.1,"13432","Básico"
517,24,658.32,"13433","Básico"
17,12,196.89,"13436","Básico"
563,1,46.5,"13438","Básico"
271,167,986.61,"13439","Básico"
107,38,720.9,"13441","Básico"
683,38,419.87,"13442","Básico"
390,58,631.68,"13444","Básico"
642,7,241.9,"13445","Básico"
39,19,291.88,"13449","Básico"
275,3,729.8,"13452","Básico"
181,40,781.69,"13453","Básico"
657,23,219.87,"13454","Básico"
704,9,148.22,"13457","Básico"
45,17,183.44,"13460","Básico"
462,34,931.12,"13465","Básico"
200,55,1013.35,"13466","Básico"
669,6,82.4,"13469","Básico"
115,10,165,"13470","Básico"
479,28,592.24,"13472","Básico"
252,130,663.79,"13474","Básico"
216,53,851.37,"13479","Básico"
432,41,627.82,"13480","Básico"
248,20,336.09,"13482","Básico"
81,10,140.34,"13483","Básico"
257,39,790.72,"13484","Básico"
73,49,846.87,"13487","Básico"
121,14,449.52,"13489","Básico"
670,8,154.25,"13490","Básico"
291,8,618.63,"13493","Básico"
327,18,316.26,"13494","Básico"
26,35,653.33,"13496","Básico"
746,17,327.38,"13498","Básico"
32,33,780.5,"13502","Básico"
80,22,295.93,"13504","Básico"
259,28,287.05,"13508","Básico"
692,5,282.76,"13511","Básico"
276,39,713.39,"13512","Básico"
142,40,824.59,"13513","Básico"
89,21,815.9,"13514","Básico"
101,38,659.44,"13518","Básico"
94,19,343.21,"13519","Básico"
46,5,125.8,"13522","Básico"
56,27,680.18,"13524","Básico"
30,6,628.78,"13525","Básico"
94,15,307.76,"13529","Básico"
650,18,402.98,"13530","Básico"
49,66,210.31,"13532","Básico"
198,76,270.79,"13533","Básico"
418,1,89.5,"13535","Básico"
441,42,717.85,"13537","Básico"
483,32,632.39,"13540","Básico"
443,10,785.25,"13541","Básico"
55,258,829,"13544","Básico"
406,57,374.64,"13545","Básico"
424,47,175.53,"13547","Básico"
112,187,908.99,"13548","Básico"
41,59,1005.8,"13549","Básico"
399,44,349.51,"13550","Básico"
335,5,244.2,"13551","Básico"
690,94,517.8,"13553","Básico"
445,9,200.82,"13556","Básico"
21,175,605.06,"13558","Básico"
528,2,990,"13559","Básico"
23,33,174.37,"13560","Básico"
100,49,777.53,"13563","Básico"
35,60,414.8,"13565","Básico"
444,203,1083.69,"13567","Básico"
189,44,192.85,"13568","Básico"
33,214,893.78,"13569","Básico"
259,27,239.49,"13570","Básico"
66,89,916.47,"13573","Básico"
427,103,421.25,"13574","Básico"
39,46,732.07,"13575","Básico"
425,9,147.66,"13578","Básico"
422,5,107.75,"13580","Básico"
325,33,280.53,"13581","Básico"
405,11,241.68,"13582","Básico"
322,83,392.45,"13584","Básico"
546,39,684.54,"13585","Básico"
557,21,131.53,"13586","Básico"
51,16,247.96,"13592","Básico"
68,33,533.32,"13594","Básico"
532,152,818.22,"13595","Básico"
21,166,697.04,"13596","Básico"
416,17,396.71,"13597","Básico"
63,99,789.59,"13598","Básico"
328,41,518.42,"13600","Básico"
80,58,1025.17,"13602","Básico"
42,27,164.34,"13603","Básico"
674,21,717.62,"13604","Básico"
403,53,522.67,"13605","Básico"
45,43,280.54,"13606","Básico"
556,36,236.2,"13608","Básico"
609,7,167.35,"13609","Básico"
648,50,818.29,"13612","Básico"
468,59,1039.85,"13613","Básico"
584,37,288.1,"13616","Básico"
189,13,177.34,"13618","Básico"
560,49,231.69,"13619","Básico"
544,5,112.34,"13620","Básico"
132,19,213.85,"13621","Básico"
712,32,658.95,"13622","Básico"
404,22,462.08,"13624","Básico"
612,21,301.26,"13625","Básico"
268,44,707.04,"13626","Básico"
692,16,310.14,"13628","Básico"
52,63,949.12,"13636","Básico"
68,101,810.5,"13637","Básico"
31,8,122.64,"13638","Básico"
627,4,405,"13640","Básico"
656,44,1016.47,"13641","Básico"
231,114,514.72,"13642","Básico"
136,5,252.1,"13645","Básico"
415,58,326.25,"13646","Básico"
51,14,226.85,"13651","Básico"
503,9,152.2,"13653","Básico"
26,16,382.14,"13657","Básico"
416,41,314.59,"13660","Básico"
619,17,325.24,"13661","Básico"
76,19,127.9,"13666","Básico"
165,87,305.02,"13667","Básico"
66,14,413.55,"13669","Básico"
91,25,349.7,"13670","Básico"
410,76,194.95,"13671","Básico"
317,18,419.92,"13672","Básico"
34,65,396.92,"13673","Básico"
448,14,240.68,"13674","Básico"
167,25,486.82,"13675","Básico"
555,13,243.9,"13676","Básico"
420,107,556.19,"13677","Básico"
167,16,232.6,"13678","Básico"
509,50,281.26,"13679","Básico"
33,57,827.83,"13681","Básico"
203,3,59.5,"13682","Básico"
473,10,258.6,"13683","Básico"
301,109,596.98,"13684","Básico"
198,34,409.04,"13686","Básico"
651,5,375.5,"13688","Básico"
75,9,172.25,"13690","Básico"
412,54,212.78,"13691","Básico"
54,12,151.3,"13697","Básico"
612,40,465.53,"13698","Básico"
171,37,764.15,"13699","Básico"
462,9,161,"13701","Básico"
461,5,135.18,"13702","Básico"
334,37,425.56,"13703","Básico"
318,38,631.17,"13706","Básico"
287,51,296.88,"13708","Básico"
47,15,509.52,"13710","Básico"
262,33,766.42,"13712","Básico"
424,82,743.26,"13713","Básico"
481,30,161.35,"13714","Básico"
285,21,138.28,"13716","Básico"
262,12,306.55,"13718","Básico"
132,43,799.9,"13720","Básico"
52,42,741.54,"13721","Básico"
653,42,213.01,"13724","Básico"
451,39,724.73,"13729","Básico"
151,43,752.6,"13730","Básico"
235,38,610.59,"13731","Básico"
44,33,491.86,"13732","Básico"
426,29,487.03,"13733","Básico"
216,30,339.6,"13737","Básico"
412,92,440.93,"13738","Básico"
34,6,292.2,"13739","Básico"
87,34,668.43,"13741","Básico"
178,56,777.36,"13745","Básico"
429,9,176.69,"13746","Básico"
389,6,249.4,"13747","Básico"
304,9,296.25,"13751","Básico"
167,21,447.05,"13754","Básico"
690,8,195.55,"13757","Básico"
49,25,659.41,"13759","Básico"
669,17,352.821,"13765","Básico"
511,17,190.35,"13766","Básico"
742,33,875.97,"13768","Básico"
438,48,785.37,"13770","Básico"
412,19,301.54,"13773","Básico"
97,22,345,"13774","Básico"
606,63,1049.66,"13775","Básico"
444,2,623.98,"13776","Básico"
531,27,161.13,"13779","Básico"
23,100,735.82,"13780","Básico"
266,57,778.83,"13781","Básico"
444,30,542.49,"13785","Básico"
521,1,3.75,"13788","Básico"
404,18,239.46,"13789","Básico"
20,45,348.8,"13790","Básico"
82,23,383.95,"13792","Básico"
662,7,96,"13793","Básico"
562,9,126.03,"13794","Básico"
404,29,836.3,"13795","Básico"
515,22,289.7,"13796","Básico"
82,23,324.8,"13801","Básico"
68,13,924.6,"13805","Básico"
79,10,256.38,"13806","Básico"
383,32,534.8,"13807","Básico"
321,25,679.7,"13809","Básico"
199,13,814.5,"13811","Básico"
58,36,539,"13812","Básico"
39,28,571.67,"13816","Básico"
45,24,382.98,"13817","Básico"
445,5,61.28,"13818","Básico"
434,90,660.65,"13820","Básico"
21,96,632,"13822","Básico"
637,40,255.59,"13825","Básico"
192,10,189.5,"13826","Básico"
73,93,412.05,"13827","Básico"
38,15,209.49,"13828","Básico"
437,1,102,"13829","Básico"
597,11,156.85,"13830","Básico"
35,57,613.69,"13832","Básico"
175,45,701.36,"13833","Básico"
592,16,324.19,"13834","Básico"
415,31,620.37,"13836","Básico"
227,19,271.24,"13837","Básico"
502,7,139.95,"13839","Básico"
432,40,651.4,"13840","Básico"
268,1,85,"13841","Básico"
397,18,319.75,"13843","Básico"
27,20,361.62,"13844","Básico"
80,9,312.98,"13845","Básico"
735,19,310.72,"13847","Básico"
626,11,187.35,"13852","Básico"
409,128,1001.01,"13857","Básico"
73,11,216.17,"13858","Básico"
342,36,515.86,"13859","Básico"
445,21,273.26,"13861","Básico"
402,1,662.4,"13864","Básico"
74,30,501.56,"13865","Básico"
90,7,145.67,"13866","Básico"
47,61,1015.29,"13867","Básico"
543,57,919.57,"13872","Básico"
135,60,1038.92,"13873","Básico"
79,7,122.7,"13876","Básico"
102,23,449.68,"13877","Básico"
661,25,395.5,"13879","Básico"
205,28,506.8,"13885","Básico"
87,16,243.56,"13886","Básico"
220,19,349.55,"13887","Básico"
394,100,863.56,"13891","Básico"
313,21,821.1,"13893","Básico"
39,27,564.62,"13894","Básico"
641,21,388.55,"13896","Básico"
341,46,686.4,"13898","Básico"
32,19,388.52,"13899","Básico"
416,10,165.45,"13903","Básico"
53,26,332.64,"13904","Básico"
748,12,312.65,"13905","Básico"
425,1,42,"13906","Básico"
707,4,136.8,"13907","Básico"
439,39,286.6,"13909","Básico"
439,7,124.95,"13912","Básico"
522,3,42.22,"13913","Básico"
27,33,626.45,"13914","Básico"
410,2,70.8,"13915","Básico"
65,18,272.04,"13917","Básico"
418,44,730.7,"13921","Básico"
367,30,865.2,"13922","Básico"
69,20,351.13,"13923","Básico"
108,41,678.25,"13925","Básico"
39,11,223.85,"13926","Básico"
90,41,708.26,"13927","Básico"
26,27,464.57,"13928","Básico"
